ID Name,Red,Green,Blue,Hexadecimal
TeaGreen,208,240,192,#d0f0c0
TeaRoseOrange,248,131,121,#f88379
TeaRoseRose,244,194,194,#f4c2c2
Teal,0,128,128,#008080
TealBlue,54,117,136,#367588
TealGreen,0,130,127,#00827f
Telemagenta,207,52,118,#cf3476
TenneTawny,205,87,0,#cd5700
TerraCotta,226,114,91,#e2725b
Thistle,216,191,216,#d8bfd8
ThulianPink,222,111,161,#de6fa1
TickleMePink,252,137,172,#fc89ac
TiffanyBlue,10,186,181,#0abab5
TigerSEye,224,141,60,#e08d3c
Timberwolf,219,215,210,#dbd7d2
TitaniumYellow,238,230,0,#eee600
Tomato,255,99,71,#ff6347
Toolbox,116,108,192,#746cc0
Topaz,255,200,124,#ffc87c
TractorRed,253,14,53,#fd0e35
TrolleyGrey,128,128,128,#808080
TropicalRainForest,0,117,94,#00755e
TrueBlue,0,115,207,#0073cf
TuftsBlue,65,125,193,#417dc1
Tumbleweed,222,170,136,#deaa88
TurkishRose,181,114,129,#b57281
Turquoise,48,213,200,#30d5c8
TurquoiseBlue,0,255,239,#00ffef
TurquoiseGreen,160,214,180,#a0d6b4
TuscanRed,124,72,72,#7c4848
TwilightLavender,138,73,107,#8a496b
TyrianPurple,102,2,60,#66023c
UaBlue,0,51,170,#00003a
UaRed,217,0,76,#d9004c
Ube,136,120,195,#8878c3
UclaBlue,83,104,149,#536895
UclaGold,255,179,0,#ffb300
UfoGreen,60,208,112,#3cd070
UltraPink,255,111,255,#ff6fff
Ultramarine,18,10,143,#120a8f
UltramarineBlue,65,102,245,#4166f5
Umber,99,81,71,#635147
UnbleachedSilk,255,221,202,#ffddca
UnitedNationsBlue,91,146,229,#5b92e5
UniversityOfCaliforniaGold,183,135,39,#b78727
UnmellowYellow,255,255,102,#000ff6
UpForestGreen,1,68,33,#014421
UpMaroon,123,17,19,#7b1113
UpsdellRed,174,32,41,#ae2029
Urobilin,225,173,33,#e1ad21
UsafaBlue,0,79,152,#004f98
UscCardinal,153,0,0,#000900
UscGold,255,204,0,#000fc0
UtahCrimson,211,0,63,#d3003f
Vanilla,243,229,171,#f3e5ab
VegasGold,197,179,88,#c5b358
VenetianRed,200,8,21,#c80815
Verdigris,67,179,174,#43b3ae
VermilionCinnabar,227,66,52,#e34234
VermilionPlochere,217,96,59,#d9603b
Veronica,160,32,240,#a020f0
Violet,143,0,255,#8f00ff
VioletBlue,50,74,178,#324ab2
VioletColorWheel,127,0,255,#7f00ff
VioletRyb,134,1,175,#8601af
VioletWeb,238,130,238,#ee82ee
Viridian,64,130,109,#40826d
VividAuburn,146,39,36,#922724
VividBurgundy,159,29,53,#9f1d35
VividCerise,218,29,129,#da1d81
VividTangerine,255,160,137,#ffa089
VividViolet,159,0,255,#9f00ff
WarmBlack,0,66,66,#004242
Waterspout,164,244,249,#a4f4f9
Wenge,100,84,82,#645452
Wheat,245,222,179,#f5deb3
White,255,255,255,#000fff
WhiteSmoke,245,245,245,#f5f5f5
WildBlueYonder,162,173,208,#a2add0
WildStrawberry,255,67,164,#ff43a4
WildWatermelon,252,108,133,#fc6c85
Wine,114,47,55,#722f37
WineDregs,103,49,71,#673147
Wisteria,201,160,220,#c9a0dc
WoodBrown,193,154,107,#c19a6b
Xanadu,115,134,120,#738678
YaleBlue,15,77,146,#0f4d92
Yellow,255,255,0,#FFFF00
YellowGreen,154,205,50,#9acd32
YellowMunsell,239,204,0,#efcc00
YellowNcs,255,211,0,#ffd300
YellowOrange,255,174,66,#ffae42
YellowProcess,255,239,0,#ffef00
YellowRyb,254,254,51,#fefe33
Zaffre,0,20,168,#0014a8
ZinnwalditeBrown,44,22,8,#2c1608
