ID Name,Red,Green,Blue,Hexadecimal
PurpleHtmlCss,128,0,128,#800080
PurpleMountainMajesty,150,120,182,#9678b6
PurpleMunsell,159,0,197,#9f00c5
PurplePizzazz,254,78,218,#fe4eda
PurpleTaupe,80,64,77,#50404d
PurpleX11,160,32,240,#a020f0
Quartz,81,72,79,#51484f
Rackley,93,138,168,#5d8aa8
RadicalRed,255,53,94,#ff355e
Rajah,251,171,96,#fbab60
Raspberry,227,11,93,#e30b5d
RaspberryGlace,145,95,109,#915f6d
RaspberryPink,226,80,152,#e25098
RaspberryRose,179,68,108,#b3446c
RawUmber,130,102,68,#826644
RazzleDazzleRose,255,51,204,#000f3c
